Group,Item,ID,factor1,factor2,Context,Sentence,Question,AnswerA,AnswerB,AnswerC,AnswerD,AnswerE,Verb,CorrectAns
a,b23,b23c,doublematch,pronoun,Some people are more sensitive than others.,The old woman couldn't stand the sight of blood. She was relieved when the young girl who was carrying a first aid kit patched her with a band aid.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,patch,0
b,b23,b23d,singlematch,pronoun,Some people are more sensitive than others.,The old man couldn't stand the sight of blood. He was relieved when the young girl who was carrying a first aid kit patched him with a band aid.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,patch,0
d,b24,b24a,doublematch,reflexive,Clothes can say a lot about a person.,The old woman is a fashion designer. She was pleased to see that the young girl who was wearing a smart suit made herself a beautiful brown belt.,"Who does ""herself"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,make,1
a,b24,b24b,singlematch,reflexive,Clothes can say a lot about a person.,The old man is a fashion designer. He was pleased to see that the young girl who was wearing a smart suit made herself a beautiful brown belt.,"Who does ""herself"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,make,1
b,b24,b24c,doublematch,pronoun,Clothes can say a lot about a person.,The old woman is a fashion designer. She was pleased to see that the young girl who was wearing a smart suit made her a beautiful brown belt.,"Who does ""her"" refer to? ",The old woman,More likely the old woman,Could be either,More likely the young girl,The young girl,make,0
c,b24,b24d,singlematch,pronoun,Clothes can say a lot about a person.,The old man is a fashion designer. He was pleased to see that the young girl who was wearing a smart suit made him a beautiful brown belt.,"Who does ""him"" refer to? ",The old man,More likely the old man,Could be either,More likely the young girl,The young girl,make,0
a,b25,bfiller,he,subject,New jobs can be very stressful.,The new hires were going to start next week. Michael assured Sarah that he was prepared for the new job at the factory.,"Who does ""he"" refer to?",Michael,More likely Michael,Could be either,More likely Sarah,Sarah,,1
a,b26,bfiller,he,object,Extra help can make everything run smoother.,Summer was a very busy time for hotdog sales. Susan convinced Joseph that he would benefit from the extra help at the snack bar.,"Who does ""he"" refer to?",Susan,More likely Susan,Could be either,More likely Joseph,Jospeh,,0
a,b27,bfiller,she,subject,New recipes can be fun to try.,The kitchen was missing a lot of necessities. Tamara told David that she would need a food processor to make that recipe.,"Who does ""she"" refer to?",Tamara,More likely Tamara,Could be either,More likely David,David,,1
a,b28,bfiller,she,object,Religion is very important to some people.,Church attendance had been very low lately. Robert informed Julia that she has to attend Sunday morning mass this week.,"Who does ""she"" refer to?",Robert,More likely Robert,Could be either,More likely Julia,Julia,,0
a,b29,bfiller,he,subject,Some say a vegetarian diet is very healthy.,It had been hard to be strict about the new diet. Kyle reminded Chloe that he couldn't eat that lasagna because it wasn't vegetarian.,"Who does ""he"" refer to?",Kyle,More likely Kyle,Could be either,More likely Chloe,Chloe,,1
a,b30,bfiller,he,object,Extra help is always needed during election season.,Everyone was already volunteering extra hours. Emily told Joel that he should recruit a new intern for the senate campaign.,"Who does ""he"" refer to?",Emily,More likely Emily,Could be either,More likely Joel,Joel,,0
a,b31,bfiller,she,subject,Collaborating with others can be difficult.,All the interns were very eager to learn. Brittany showed Samuel that she could create high quality designs for even the pickiest clients,"Who does ""she"" refer to?",Brittany,More likely Brittany,Could be either,More likely Samuel,Samuel,,1
a,b32,bfiller,she,object,It is important to take time off when injured.,The restaurant was always busiest for breakfast. Andrew warned Hannah that she couldn't work the morning shift because of her shoulder injury.,"Who does ""she"" refer to?",Andrew,More likely Andrew,Could be either,More likely Hannah,Hannah,,0
a,b33,bfiller,he,subject,Paperwork can be very confusing.,Everyone was feeling especially stressed. Oliver warned Shelby that he didn't have all the documents for the immigration official.,"Who does ""he"" refer to?",Oliver,More likely Oliver,Could be either,More likely Shelby,Shelby,,1
a,b34,bfiller,he,object,Interviews can be very difficult.,Thankfully everyone seemed to be in a good mood. Jennifer convinced Victor that he was perfect for that position in the foreign services.,"Who does ""he"" refer to?",Jennifer,More likely Jennifer,Could be either,More likely Victor,Victor,,0
a,b35,bfiller,she,subject,All the graduates were relieved.,The ceremony was coming to an end. Tiffany warned Charles that she was unprepared to give a speech at the graduation ceremony.,"Who does ""she"" refer to?",Tiffany,More likely Tiffany,Could be either,More likely Charles,Charles,,1
a,b36,bfiller,she,object,Home repairs are very stressful.,The renovations had taken months already. Mike told Kaitlyn that she would need to hire more repairmen.,"Who does ""she"" refer to?",Mike,More likely Mike,Could be either,More likely Kaitlyn,Kaitlyn,,0
a,b37,bfiller,he,subject,Funding can be hard to come by.,Everyone was feeling optimistic. The Pope promised the nun that he would get funding for human rights campaigns.,"Who does ""he"" refer to?",The Pope,More likely the Pope,Could be either,More likely the nun,the nun,,1
a,b38,bfiller,he,object,Rainy weather can put people in a bad mood.,The family was annoyed with the conversation. The little girl told the unhappy old man that he shouldn't complain about the weather at the dinner table.,"Who does ""he"" refer to?",The little girl,More likely the little girl,Could be either,More likely the unhappy old man,The unhappy old man,,0
a,b39,bfiller,she,subject,Picking a new leader is serious work.,The people were very impressed. The young princess showed the revered king that she would be a fine leader of the Tharassian empire.,"Who does ""she"" refer to?",The young princess,More likely the young princess,Could be either,More likely the revered king,The revered king,,1
a,b40,bfiller,she,object,It is important to give credit where it is due.,It was a proud moment for everyone. The policeman notified the female cadet that she had received a medal of honor for ethical conduct.,"Who does ""she"" refer to?",The policeman,More likely the policeman,Could be either,More likely the female cadet,The female cadet,,0
a,b41,bfiller,he,subject,It had been a lovely garden party.,The lemonade was especially delicious. The duke complimented the maid on the refreshments when he was in the yard.,"Who does ""he"" refer to?",The duke,More likely the duke,Could be either,More likely the maid,the maid,,1
a,b42,bfiller,he,object,It is important to not be overoptimistic.,The firm was very competive. The elderly lady warned the young man that he was unlikely to be hired by the advertising firm.,"Who does ""he"" refer to?",The elderly lady,More likely the elderly lady,Could be either,More likely the young man,The young man,,0
a,b43,bfiller,she,subject,It had been a wild night.,Everyone had had too much to drink. The sorority sister told the football player that she would get very sick because of the bad wine.,"Who does ""she"" refer to?",The sorority sister,More likely the sorority sister,Could be either,More likely the football player,The football player,,1
a,b44,bfiller,she,object,Weddings are very stressful.,No one was in a good mood. The groom warned the bridesmaid that she might receive an important call during the ceremony.,"Who does ""she"" refer to?",The groom,More likely the groom,Could be either,More likely the bridesmaid,The bridesmaid,,0
a,b45,bfiller,he,subject,The event was getting closer.,Everyone was busy preparing the house. The king told the housemaid that he needed to send out the invitations for the ball.,"Who does ""he"" refer to?",The king,More likely the king,Could be either,More likely the housemaid,The housemaid,,1
a,b46,bfiller,he,object,It can be expensive to go to the salon.,No one wanted to pay full price for a haircut. The hairdresser liked the hockey player so he received a discount on the cut that day.,"Who does ""he"" refer to?",The hairdresser,More likely the hairdresser,Could be either,More likely the hockey player,The hockey player,,0
a,b47,bfiller,she,subject,It was a slow day at the restaurant.,Everyone was feeling very chatty. The waitress told the young gentleman that she would enjoy any movie that starred Winona Ryder.,"Who does ""she"" refer to?",The waitress,More likely the waitress,Could be either,More likely the young gentleman,The young gentleman,,1
a,b48,bfiller,she,object,Travel can be very exciting.,Everyone was in a good mood when the guests arrived. The butler informed the heiress once the car had arrived and she hurried down the stairs to greet everyone.,"Who does ""she"" refer to?",The butler,More likely the butler,Could be either,More likely the heiress,The heiress,,0
b,b25,bfiller,he,subject,New jobs can be very stressful.,The new hires were going to start next week. Michael assured Sarah that he was prepared for the new job at the factory.,"Who does ""he"" refer to?",Michael,More likely Michael,Could be either,More likely Sarah,Sarah,,1
b,b26,bfiller,he,object,Extra help can make everything run smoother.,Summer was a very busy time for hotdog sales. Susan convinced Joseph that he would benefit from the extra help at the snack bar.,"Who does ""he"" refer to?",Susan,More likely Susan,Could be either,More likely Joseph,Jospeh,,0
b,b27,bfiller,she,subject,New recipes can be fun to try.,The kitchen was missing a lot of necessities. Tamara told David that she would need a food processor to make that recipe.,"Who does ""she"" refer to?",Tamara,More likely Tamara,Could be either,More likely David,David,,1
b,b28,bfiller,she,object,Religion is very important to some people.,Church attendance had been very low lately. Robert informed Julia that she has to attend Sunday morning mass this week.,"Who does ""she"" refer to?",Robert,More likely Robert,Could be either,More likely Julia,Julia,,0
b,b29,bfiller,he,subject,Some say a vegetarian diet is very healthy.,It had been hard to be strict about the new diet. Kyle reminded Chloe that he couldn't eat that lasagna because it wasn't vegetarian.,"Who does ""he"" refer to?",Kyle,More likely Kyle,Could be either,More likely Chloe,Chloe,,1
b,b30,bfiller,he,object,Extra help is always needed during election season.,Everyone was already volunteering extra hours. Emily told Joel that he should recruit a new intern for the senate campaign.,"Who does ""he"" refer to?",Emily,More likely Emily,Could be either,More likely Joel,Joel,,0
b,b31,bfiller,she,subject,Collaborating with others can be difficult.,All the interns were very eager to learn. Brittany showed Samuel that she could create high quality designs for even the pickiest clients,"Who does ""she"" refer to?",Brittany,More likely Brittany,Could be either,More likely Samuel,Samuel,,1
b,b32,bfiller,she,object,It is important to take time off when injured.,The restaurant was always busiest for breakfast. Andrew warned Hannah that she couldn't work the morning shift because of her shoulder injury.,"Who does ""she"" refer to?",Andrew,More likely Andrew,Could be either,More likely Hannah,Hannah,,0
b,b33,bfiller,he,subject,Paperwork can be very confusing.,Everyone was feeling especially stressed. Oliver warned Shelby that he didn't have all the documents for the immigration official.,"Who does ""he"" refer to?",Oliver,More likely Oliver,Could be either,More likely Shelby,Shelby,,1
b,b34,bfiller,he,object,Interviews can be very difficult.,Thankfully everyone seemed to be in a good mood. Jennifer convinced Victor that he was perfect for that position in the foreign services.,"Who does ""he"" refer to?",Jennifer,More likely Jennifer,Could be either,More likely Victor,Victor,,0
b,b35,bfiller,she,subject,All the graduates were relieved.,The ceremony was coming to an end. Tiffany warned Charles that she was unprepared to give a speech at the graduation ceremony.,"Who does ""she"" refer to?",Tiffany,More likely Tiffany,Could be either,More likely Charles,Charles,,1
b,b36,bfiller,she,object,Home repairs are very stressful.,The renovations had taken months already. Mike told Kaitlyn that she would need to hire more repairmen.,"Who does ""she"" refer to?",Mike,More likely Mike,Could be either,More likely Kaitlyn,Kaitlyn,,0
b,b37,bfiller,he,subject,Funding can be hard to come by.,Everyone was feeling optimistic. The Pope promised the nun that he would get funding for human rights campaigns.,"Who does ""he"" refer to?",The Pope,More likely the Pope,Could be either,More likely the nun,the nun,,1
b,b38,bfiller,he,object,Rainy weather can put people in a bad mood.,The family was annoyed with the conversation. The little girl told the unhappy old man that he shouldn't complain about the weather at the dinner table.,"Who does ""he"" refer to?",The little girl,More likely the little girl,Could be either,More likely the unhappy old man,The unhappy old man,,0
b,b39,bfiller,she,subject,Picking a new leader is serious work.,The people were very impressed. The young princess showed the revered king that she would be a fine leader of the Tharassian empire.,"Who does ""she"" refer to?",The young princess,More likely the young princess,Could be either,More likely the revered king,The revered king,,1
b,b40,bfiller,she,object,It is important to give credit where it is due.,It was a proud moment for everyone. The policeman notified the female cadet that she had received a medal of honor for ethical conduct.,"Who does ""she"" refer to?",The policeman,More likely the policeman,Could be either,More likely the female cadet,The female cadet,,0
b,b41,bfiller,he,subject,It had been a lovely garden party.,The lemonade was especially delicious. The duke complimented the maid on the refreshments when he was in the yard.,"Who does ""he"" refer to?",The duke,More likely the duke,Could be either,More likely the maid,the maid,,1
b,b42,bfiller,he,object,It is important to not be overoptimistic.,The firm was very competive. The elderly lady warned the young man that he was unlikely to be hired by the advertising firm.,"Who does ""he"" refer to?",The elderly lady,More likely the elderly lady,Could be either,More likely the young man,The young man,,0
b,b43,bfiller,she,subject,It had been a wild night.,Everyone had had too much to drink. The sorority sister told the football player that she would get very sick because of the bad wine.,"Who does ""she"" refer to?",The sorority sister,More likely the sorority sister,Could be either,More likely the football player,The football player,,1
b,b44,bfiller,she,object,Weddings are very stressful.,No one was in a good mood. The groom warned the bridesmaid that she might receive an important call during the ceremony.,"Who does ""she"" refer to?",The groom,More likely the groom,Could be either,More likely the bridesmaid,The bridesmaid,,0
b,b45,bfiller,he,subject,The event was getting closer.,Everyone was busy preparing the house. The king told the housemaid that he needed to send out the invitations for the ball.,"Who does ""he"" refer to?",The king,More likely the king,Could be either,More likely the housemaid,The housemaid,,1
b,b46,bfiller,he,object,It can be expensive to go to the salon.,No one wanted to pay full price for a haircut. The hairdresser liked the hockey player so he received a discount on the cut that day.,"Who does ""he"" refer to?",The hairdresser,More likely the hairdresser,Could be either,More likely the hockey player,The hockey player,,0
b,b47,bfiller,she,subject,It was a slow day at the restaurant.,Everyone was feeling very chatty. The waitress told the young gentleman that she would enjoy any movie that starred Winona Ryder.,"Who does ""she"" refer to?",The waitress,More likely the waitress,Could be either,More likely the young gentleman,The young gentleman,,1
b,b48,bfiller,she,object,Travel can be very exciting.,Everyone was in a good mood when the guests arrived. The butler informed the heiress once the car had arrived and she hurried down the stairs to greet everyone.,"Who does ""she"" refer to?",The butler,More likely the butler,Could be either,More likely the heiress,The heiress,,0
c,b25,bfiller,he,subject,New jobs can be very stressful.,The new hires were going to start next week. Michael assured Sarah that he was prepared for the new job at the factory.,"Who does ""he"" refer to?",Michael,More likely Michael,Could be either,More likely Sarah,Sarah,,1
c,b26,bfiller,he,object,Extra help can make everything run smoother.,Summer was a very busy time for hotdog sales. Susan convinced Joseph that he would benefit from the extra help at the snack bar.,"Who does ""he"" refer to?",Susan,More likely Susan,Could be either,More likely Joseph,Jospeh,,0
c,b27,bfiller,she,subject,New recipes can be fun to try.,The kitchen was missing a lot of necessities. Tamara told David that she would need a food processor to make that recipe.,"Who does ""she"" refer to?",Tamara,More likely Tamara,Could be either,More likely David,David,,1
c,b28,bfiller,she,object,Religion is very important to some people.,Church attendance had been very low lately. Robert informed Julia that she has to attend Sunday morning mass this week.,"Who does ""she"" refer to?",Robert,More likely Robert,Could be either,More likely Julia,Julia,,0
c,b29,bfiller,he,subject,Some say a vegetarian diet is very healthy.,It had been hard to be strict about the new diet. Kyle reminded Chloe that he couldn't eat that lasagna because it wasn't vegetarian.,"Who does ""he"" refer to?",Kyle,More likely Kyle,Could be either,More likely Chloe,Chloe,,1
c,b30,bfiller,he,object,Extra help is always needed during election season.,Everyone was already volunteering extra hours. Emily told Joel that he should recruit a new intern for the senate campaign.,"Who does ""he"" refer to?",Emily,More likely Emily,Could be either,More likely Joel,Joel,,0
c,b31,bfiller,she,subject,Collaborating with others can be difficult.,All the interns were very eager to learn. Brittany showed Samuel that she could create high quality designs for even the pickiest clients,"Who does ""she"" refer to?",Brittany,More likely Brittany,Could be either,More likely Samuel,Samuel,,1
c,b32,bfiller,she,object,It is important to take time off when injured.,The restaurant was always busiest for breakfast. Andrew warned Hannah that she couldn't work the morning shift because of her shoulder injury.,"Who does ""she"" refer to?",Andrew,More likely Andrew,Could be either,More likely Hannah,Hannah,,0
c,b33,bfiller,he,subject,Paperwork can be very confusing.,Everyone was feeling especially stressed. Oliver warned Shelby that he didn't have all the documents for the immigration official.,"Who does ""he"" refer to?",Oliver,More likely Oliver,Could be either,More likely Shelby,Shelby,,1
c,b34,bfiller,he,object,Interviews can be very difficult.,Thankfully everyone seemed to be in a good mood. Jennifer convinced Victor that he was perfect for that position in the foreign services.,"Who does ""he"" refer to?",Jennifer,More likely Jennifer,Could be either,More likely Victor,Victor,,0
c,b35,bfiller,she,subject,All the graduates were relieved.,The ceremony was coming to an end. Tiffany warned Charles that she was unprepared to give a speech at the graduation ceremony.,"Who does ""she"" refer to?",Tiffany,More likely Tiffany,Could be either,More likely Charles,Charles,,1
c,b36,bfiller,she,object,Home repairs are very stressful.,The renovations had taken months already. Mike told Kaitlyn that she would need to hire more repairmen.,"Who does ""she"" refer to?",Mike,More likely Mike,Could be either,More likely Kaitlyn,Kaitlyn,,0
c,b37,bfiller,he,subject,Funding can be hard to come by.,Everyone was feeling optimistic. The Pope promised the nun that he would get funding for human rights campaigns.,"Who does ""he"" refer to?",The Pope,More likely the Pope,Could be either,More likely the nun,the nun,,1
c,b38,bfiller,he,object,Rainy weather can put people in a bad mood.,The family was annoyed with the conversation. The little girl told the unhappy old man that he shouldn't complain about the weather at the dinner table.,"Who does ""he"" refer to?",The little girl,More likely the little girl,Could be either,More likely the unhappy old man,The unhappy old man,,0
c,b39,bfiller,she,subject,Picking a new leader is serious work.,The people were very impressed. The young princess showed the revered king that she would be a fine leader of the Tharassian empire.,"Who does ""she"" refer to?",The young princess,More likely the young princess,Could be either,More likely the revered king,The revered king,,1
c,b40,bfiller,she,object,It is important to give credit where it is due.,It was a proud moment for everyone. The policeman notified the female cadet that she had received a medal of honor for ethical conduct.,"Who does ""she"" refer to?",The policeman,More likely the policeman,Could be either,More likely the female cadet,The female cadet,,0
c,b41,bfiller,he,subject,It had been a lovely garden party.,The lemonade was especially delicious. The duke complimented the maid on the refreshments when he was in the yard.,"Who does ""he"" refer to?",The duke,More likely the duke,Could be either,More likely the maid,the maid,,1
c,b42,bfiller,he,object,It is important to not be overoptimistic.,The firm was very competive. The elderly lady warned the young man that he was unlikely to be hired by the advertising firm.,"Who does ""he"" refer to?",The elderly lady,More likely the elderly lady,Could be either,More likely the young man,The young man,,0
c,b43,bfiller,she,subject,It had been a wild night.,Everyone had had too much to drink. The sorority sister told the football player that she would get very sick because of the bad wine.,"Who does ""she"" refer to?",The sorority sister,More likely the sorority sister,Could be either,More likely the football player,The football player,,1
c,b44,bfiller,she,object,Weddings are very stressful.,No one was in a good mood. The groom warned the bridesmaid that she might receive an important call during the ceremony.,"Who does ""she"" refer to?",The groom,More likely the groom,Could be either,More likely the bridesmaid,The bridesmaid,,0
c,b45,bfiller,he,subject,The event was getting closer.,Everyone was busy preparing the house. The king told the housemaid that he needed to send out the invitations for the ball.,"Who does ""he"" refer to?",The king,More likely the king,Could be either,More likely the housemaid,The housemaid,,1
c,b46,bfiller,he,object,It can be expensive to go to the salon.,No one wanted to pay full price for a haircut. The hairdresser liked the hockey player so he received a discount on the cut that day.,"Who does ""he"" refer to?",The hairdresser,More likely the hairdresser,Could be either,More likely the hockey player,The hockey player,,0
c,b47,bfiller,she,subject,It was a slow day at the restaurant.,Everyone was feeling very chatty. The waitress told the young gentleman that she would enjoy any movie that starred Winona Ryder.,"Who does ""she"" refer to?",The waitress,More likely the waitress,Could be either,More likely the young gentleman,The young gentleman,,1
c,b48,bfiller,she,object,Travel can be very exciting.,Everyone was in a good mood when the guests arrived. The butler informed the heiress once the car had arrived and she hurried down the stairs to greet everyone.,"Who does ""she"" refer to?",The butler,More likely the butler,Could be either,More likely the heiress,The heiress,,0
d,b25,bfiller,he,subject,New jobs can be very stressful.,The new hires were going to start next week. Michael assured Sarah that he was prepared for the new job at the factory.,"Who does ""he"" refer to?",Michael,More likely Michael,Could be either,More likely Sarah,Sarah,,1
d,b26,bfiller,he,object,Extra help can make everything run smoother.,Summer was a very busy time for hotdog sales. Susan convinced Joseph that he would benefit from the extra help at the snack bar.,"Who does ""he"" refer to?",Susan,More likely Susan,Could be either,More likely Joseph,Jospeh,,0
d,b27,bfiller,she,subject,New recipes can be fun to try.,The kitchen was missing a lot of necessities. Tamara told David that she would need a food processor to make that recipe.,"Who does ""she"" refer to?",Tamara,More likely Tamara,Could be either,More likely David,David,,1
d,b28,bfiller,she,object,Religion is very important to some people.,Church attendance had been very low lately. Robert informed Julia that she has to attend Sunday morning mass this week.,"Who does ""she"" refer to?",Robert,More likely Robert,Could be either,More likely Julia,Julia,,0
d,b29,bfiller,he,subject,Some say a vegetarian diet is very healthy.,It had been hard to be strict about the new diet. Kyle reminded Chloe that he couldn't eat that lasagna because it wasn't vegetarian.,"Who does ""he"" refer to?",Kyle,More likely Kyle,Could be either,More likely Chloe,Chloe,,1
d,b30,bfiller,he,object,Extra help is always needed during election season.,Everyone was already volunteering extra hours. Emily told Joel that he should recruit a new intern for the senate campaign.,"Who does ""he"" refer to?",Emily,More likely Emily,Could be either,More likely Joel,Joel,,0
d,b31,bfiller,she,subject,Collaborating with others can be difficult.,All the interns were very eager to learn. Brittany showed Samuel that she could create high quality designs for even the pickiest clients,"Who does ""she"" refer to?",Brittany,More likely Brittany,Could be either,More likely Samuel,Samuel,,1
d,b32,bfiller,she,object,It is important to take time off when injured.,The restaurant was always busiest for breakfast. Andrew warned Hannah that she couldn't work the morning shift because of her shoulder injury.,"Who does ""she"" refer to?",Andrew,More likely Andrew,Could be either,More likely Hannah,Hannah,,0
d,b33,bfiller,he,subject,Paperwork can be very confusing.,Everyone was feeling especially stressed. Oliver warned Shelby that he didn't have all the documents for the immigration official.,"Who does ""he"" refer to?",Oliver,More likely Oliver,Could be either,More likely Shelby,Shelby,,1
d,b34,bfiller,he,object,Interviews can be very difficult.,Thankfully everyone seemed to be in a good mood. Jennifer convinced Victor that he was perfect for that position in the foreign services.,"Who does ""he"" refer to?",Jennifer,More likely Jennifer,Could be either,More likely Victor,Victor,,0
d,b35,bfiller,she,subject,All the graduates were relieved.,The ceremony was coming to an end. Tiffany warned Charles that she was unprepared to give a speech at the graduation ceremony.,"Who does ""she"" refer to?",Tiffany,More likely Tiffany,Could be either,More likely Charles,Charles,,1
d,b36,bfiller,she,object,Home repairs are very stressful.,The renovations had taken months already. Mike told Kaitlyn that she would need to hire more repairmen.,"Who does ""she"" refer to?",Mike,More likely Mike,Could be either,More likely Kaitlyn,Kaitlyn,,0
d,b37,bfiller,he,subject,Funding can be hard to come by.,Everyone was feeling optimistic. The Pope promised the nun that he would get funding for human rights campaigns.,"Who does ""he"" refer to?",The Pope,More likely the Pope,Could be either,More likely the nun,the nun,,1
d,b38,bfiller,he,object,Rainy weather can put people in a bad mood.,The family was annoyed with the conversation. The little girl told the unhappy old man that he shouldn't complain about the weather at the dinner table.,"Who does ""he"" refer to?",The little girl,More likely the little girl,Could be either,More likely the unhappy old man,The unhappy old man,,0
d,b39,bfiller,she,subject,Picking a new leader is serious work.,The people were very impressed. The young princess showed the revered king that she would be a fine leader of the Tharassian empire.,"Who does ""she"" refer to?",The young princess,More likely the young princess,Could be either,More likely the revered king,The revered king,,1
d,b40,bfiller,she,object,It is important to give credit where it is due.,It was a proud moment for everyone. The policeman notified the female cadet that she had received a medal of honor for ethical conduct.,"Who does ""she"" refer to?",The policeman,More likely the policeman,Could be either,More likely the female cadet,The female cadet,,0
d,b41,bfiller,he,subject,It had been a lovely garden party.,The lemonade was especially delicious. The duke complimented the maid on the refreshments when he was in the yard.,"Who does ""he"" refer to?",The duke,More likely the duke,Could be either,More likely the maid,the maid,,1
d,b42,bfiller,he,object,It is important to not be overoptimistic.,The firm was very competive. The elderly lady warned the young man that he was unlikely to be hired by the advertising firm.,"Who does ""he"" refer to?",The elderly lady,More likely the elderly lady,Could be either,More likely the young man,The young man,,0
d,b43,bfiller,she,subject,It had been a wild night.,Everyone had had too much to drink. The sorority sister told the football player that she would get very sick because of the bad wine.,"Who does ""she"" refer to?",The sorority sister,More likely the sorority sister,Could be either,More likely the football player,The football player,,1
d,b44,bfiller,she,object,Weddings are very stressful.,No one was in a good mood. The groom warned the bridesmaid that she might receive an important call during the ceremony.,"Who does ""she"" refer to?",The groom,More likely the groom,Could be either,More likely the bridesmaid,The bridesmaid,,0
d,b45,bfiller,he,subject,The event was getting closer.,Everyone was busy preparing the house. The king told the housemaid that he needed to send out the invitations for the ball.,"Who does ""he"" refer to?",The king,More likely the king,Could be either,More likely the housemaid,The housemaid,,1
d,b46,bfiller,he,object,It can be expensive to go to the salon.,No one wanted to pay full price for a haircut. The hairdresser liked the hockey player so he received a discount on the cut that day.,"Who does ""he"" refer to?",The hairdresser,More likely the hairdresser,Could be either,More likely the hockey player,The hockey player,,0
d,b47,bfiller,she,subject,It was a slow day at the restaurant.,Everyone was feeling very chatty. The waitress told the young gentleman that she would enjoy any movie that starred Winona Ryder.,"Who does ""she"" refer to?",The waitress,More likely the waitress,Could be either,More likely the young gentleman,The young gentleman,,1
d,b48,bfiller,she,object,Travel can be very exciting.,Everyone was in a good mood when the guests arrived. The butler informed the heiress once the car had arrived and she hurried down the stairs to greet everyone.,"Who does ""she"" refer to?",The butler,More likely the butler,Could be either,More likely the heiress,The heiress,,0